pixel_id,latitude_x,longitude_y,amplitude_onda,curvatura_ricci
492,15,12,254.0,2.0471723
493,15,13,3.25,0.07268286
494,15,14,254.0,2.0471723
495,15,15,254.0,0.0009813309
496,15,16,254.0,2.3124864
497,15,17,1.5,2.018593
498,15,18,254.0,2.3132598
499,15,19,254.0,0.0
500,15,20,254.0,0.0009813309
501,15,21,253.5,0.0
502,15,22,254.0,0.0009813309
503,15,23,254.0,0.0
504,15,24,254.0,0.0
505,15,25,254.0,0.0
506,15,26,254.0,0.0
507,15,27,254.0,0.0
508,15,28,254.0,0.0
509,15,29,254.0,0.0
510,15,30,254.0,0.0
511,15,31,254.0,0.0
512,16,0,254.0,0.0
513,16,1,254.0,0.0
514,16,2,254.0,0.0
515,16,3,254.0,0.0
516,16,4,254.0,0.0
517,16,5,254.0,0.0
518,16,6,254.0,0.0
519,16,7,254.0,0.0
520,16,8,254.0,0.0
521,16,9,254.0,0.0009794235
522,16,10,254.0,0.0
523,16,11,254.0,0.0
524,16,12,254.0,0.0
525,16,13,254.0,2.0471723
526,16,14,254.0,0.0
527,16,15,254.0,0.0
528,16,16,254.0,0.0
529,16,17,254.0,2.3124864
530,16,18,254.0,0.0
531,16,19,254.0,0.0
532,16,20,254.0,0.0009813309
533,16,21,253.5,0.0009813309
534,16,22,254.0,0.0009813309
535,16,23,254.0,0.0
536,16,24,254.0,0.0
537,16,25,254.0,0.0
538,16,26,254.0,0.0
539,16,27,254.0,0.0
540,16,28,254.0,0.0
541,16,29,254.0,0.0
542,16,30,254.0,0.0
543,16,31,254.0,0.0
544,17,0,254.0,0.0
545,17,1,254.0,0.0
546,17,2,254.0,0.0
547,17,3,254.0,0.0
548,17,4,254.0,0.0
549,17,5,254.0,0.0
550,17,6,254.0,0.0
551,17,7,254.0,0.0
552,17,8,254.0,0.0009794235
553,17,9,254.5,2.1097538
554,17,10,254.0,0.0017686576
555,17,11,254.0,0.0
556,17,12,254.0,2.0774846
557,17,13,254.0,0.0
558,17,14,254.0,0.0
559,17,15,254.0,0.0
560,17,16,254.0,0.0
561,17,17,254.0,0.0
562,17,18,254.0,0.0
563,17,19,254.0,0.0
564,17,20,254.0,0.0
565,17,21,254.0,2.311505
566,17,22,254.0,0.0009813309
567,17,23,254.0,0.0
568,17,24,254.0,0.0
569,17,25,254.0,0.0
570,17,26,254.0,0.0
571,17,27,254.0,0.0
572,17,28,254.0,0.0
573,17,29,254.0,0.0
574,17,30,254.0,0.0
575,17,31,254.0,0.0
576,18,0,254.0,0.0
577,18,1,254.0,0.0
578,18,2,254.0,0.0
579,18,3,254.0,0.0
580,18,4,254.0,0.0
581,18,5,254.0,0.33782697
582,18,6,254.0,0.12272477
583,18,7,254.0,0.09411073
584,18,8,254.0,2.1097538
585,18,9,2.75,0.0017686576
586,18,10,253.25,2.1097538
587,18,11,254.0,2.076012
588,18,12,3.0,1.7801311
589,18,13,254.0,2.0774846
590,18,14,254.0,0.0009813309
591,18,15,254.0,0.0
592,18,16,254.0,0.0
593,18,17,254.0,0.0
594,18,18,254.0,0.0
595,18,19,254.0,0.08299255
596,18,20,254.0,2.3124864
597,18,21,1.5,0.0009813309
598,18,22,253.5,2.3124864
599,18,23,254.0,0.0009813309
600,18,24,254.0,2.4240582
601,18,25,254.0,0.0
602,18,26,254.0,0.0
603,18,27,254.0,0.0
604,18,28,254.0,0.0
605,18,29,254.0,0.0
606,18,30,254.0,0.0
607,18,31,254.0,0.0
608,19,0,254.0,0.0
609,19,1,254.0,0.0
610,19,2,254.0,0.0
611,19,3,254.0,0.0
612,19,4,254.0,0.33782697
613,19,5,128.75,0.35582227
614,19,6,198.5,0.27666247
615,19,7,210.25,0.12272477
616,19,8,254.0,0.09411073
617,19,9,254.0,2.1097538
618,19,10,254.0,0.0014727116
619,19,11,254.0,1.7801311
620,19,12,6.25,2.0774846
621,19,13,254.0,1.7791498
622,19,14,253.5,2.3651667
623,19,15,254.0,0.0009813309
624,19,16,254.0,0.0
625,19,17,254.0,2.3124864
626,19,18,254.0,0.08299255
627,19,19,215.0,0.0
628,19,20,254.0,0.08299255
629,19,21,254.0,2.3124864
630,19,22,254.0,0.0009813309
631,19,23,254.0,2.4240582
632,19,24,1.0,0.0
633,19,25,254.0,2.4240582
634,19,26,254.0,0.0
635,19,27,254.0,0.0
636,19,28,254.0,0.0
637,19,29,254.0,0.0
638,19,30,254.0,0.0
639,19,31,254.0,0.0
640,20,0,254.0,0.0
641,20,1,254.0,0.0
642,20,2,254.0,0.0
643,20,3,254.0,0.0
644,20,4,254.0,0.3339882
645,20,5,129.75,0.3623142
646,20,6,195.25,0.35582227
647,20,7,254.0,0.16124935
648,20,8,254.0,0.0
649,20,9,254.0,0.0
650,20,10,254.0,0.0
651,20,11,254.0,0.0
652,20,12,254.0,1.7801311
653,20,13,254.0,2.3651667
654,20,14,1.25,0.0009813309
655,20,15,254.0,3.3448508
656,20,16,254.0,2.3124866
657,20,17,1.5,0.0
658,20,18,254.0,2.3124864
659,20,19,254.0,0.08299255
660,20,20,254.0,0.0
661,20,21,254.0,0.0
662,20,22,254.0,0.0
663,20,23,254.0,0.0
664,20,24,254.0,2.4240582
665,20,25,254.0,0.0
666,20,26,254.0,0.0
667,20,27,254.0,0.0
668,20,28,254.0,0.0
669,20,29,254.0,0.0
670,20,30,254.0,0.0
671,20,31,254.0,0.0
672,21,0,254.0,0.0
673,21,1,254.0,0.0
674,21,2,254.0,0.0
675,21,3,254.0,0.0
676,21,4,254.0,0.0
677,21,5,254.0,0.3339882
678,21,6,254.0,0.1309371
679,21,7,254.0,0.0
680,21,8,254.0,0.0
681,21,9,254.0,0.0
682,21,10,254.0,0.0
683,21,11,254.0,0.0
684,21,12,254.0,0.0
685,21,13,254.0,0.0
686,21,14,254.0,3.3448508
687,21,15,1.25,0.0009813309
688,21,16,253.5,2.3651667
